"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.607010333×10^0,-3.348237305×10^0,8.880732422×10^0,-1.152603149×10^-1
2.616959333×10^0,-4.033362579×10^0,8.996142426×10^0,-2.056723022×10^-1
2.626908333×10^0,-4.446653137×10^0,1.014605118×10^1,-3.267704773×10^-1
2.636857333×10^0,-4.795727234×10^0,1.129461273×10^1,-9.244775391×10^-1
2.646806333×10^0,-5.631589050×10^0,1.101798798×10^1,-1.958227844×10^0
2.656756333×10^0,-6.223308563×10^0,1.026969406×10^1,-2.843786316×10^0
2.666705333×10^0,-6.192622375×10^0,9.098230133×10^0,-3.004701691×10^0
2.676654333×10^0,-5.850284271×10^0,7.923323364×10^0,-2.824626160×10^0
2.686603333×10^0,-5.787564697×10^0,7.163204041×10^0,-2.801125031×10^0
2.696552333×10^0,-5.946983185×10^0,6.591842194×10^0,-2.921774139×10^0
2.706502333×10^0,-5.807622986×10^0,6.151308289×10^0,-2.878663788×10^0
2.716451333×10^0,-5.595214691×10^0,6.136339417×10^0,-2.759810944×10^0
2.726400333×10^0,-4.747527466×10^0,6.172264709×10^0,-2.622696075×10^0
2.736349333×10^0,-3.764521637×10^0,6.330785065×10^0,-2.288441162×10^0
2.746298333×10^0,-3.186573486×10^0,6.566395111×10^0,-1.874551849×10^0
2.756247333×10^0,-2.921923828×10^0,6.715934143×10^0,-1.609153748×10^0
2.766197333×10^0,-2.973566437×10^0,6.849007416×10^0,-1.296154633×10^0
2.776146333×10^0,-3.359913025×10^0,6.941065979×10^0,-8.149053955×10^-1
2.786095333×10^0,-3.758833466×10^0,6.995852051×10^0,-3.920347595×10^-1
2.796044333×10^0,-4.094585266×10^0,7.121889954×10^0,-2.881507874×10^-1
2.805993333×10^0,-4.400848389×10^0,7.145391083×10^0,-4.869374084×10^-1
2.815942333×10^0,-4.604425049×10^0,6.972949677×10^0,-1.051862640×10^0
2.825892333×10^0,-4.543801117×10^0,6.666087799×10^0,-1.981130219×10^0
2.835841333×10^0,-4.394262085×10^0,6.389163666×10^0,-2.884950714×10^0
2.845790333×10^0,-4.266427917×10^0,6.300098877×10^0,-3.560944977×10^0
2.855739333×10^0,-4.223916321×10^0,6.448440399×10^0,-3.949536896×10^0
2.865688333×10^0,-4.353995819×10^0,6.631509705×10^0,-4.187092896×10^0
2.875638333×10^0,-4.516408081×10^0,6.820566559×10^0,-4.228556671×10^0
2.885587333×10^0,-4.633165283×10^0,7.011120300×10^0,-4.090094604×10^0
2.895536333×10^0,-4.705764313×10^0,7.200476532×10^0,-3.873794403×10^0
2.905485333×10^0,-4.792284393×10^0,7.377558289×10^0,-3.604803772×10^0
2.915434333×10^0,-4.890180817×10^0,7.637118530×10^0,-3.364703064×10^0
2.925384333×10^0,-4.899611206×10^0,7.805668030×10^0,-3.221450958×10^0
2.935333333×10^0,-4.608167267×10^0,7.890391846×10^0,-3.344644775×10^0
2.945282333×10^0,-4.160747681×10^0,7.928861847×10^0,-3.610192566×10^0
2.955231333×10^0,-3.733536072×10^0,7.813152466×10^0,-3.936963043×10^0
2.965180333×10^0,-3.346890106×10^0,7.438631287×10^0,-4.263434143×10^0
2.975129333×10^0,-3.133883057×10^0,7.012617188×10^0,-4.691843262×10^0
2.985079333×10^0,-3.315605164×10^0,6.637946320×10^0,-5.171595612×10^0
2.995028333×10^0,-3.767515411×10^0,6.425088959×10^0,-5.675747223×10^0
3.004977333×10^0,-4.324656830×10^0,6.321803741×10^0,-5.913303223×10^0
3.014926333×10^0,-4.842430115×10^0,6.323749695×10^0,-5.623206482×10^0
3.024875333×10^0,-5.395829315×10^0,6.599027252×10^0,-5.184917908×10^0
3.034825333×10^0,-6.062243500×10^0,6.975344696×10^0,-4.886139221×10^0
3.044774333×10^0,-6.865024109×10^0,7.275620270×10^0,-4.718936920×10^0
3.054723333×10^0,-7.854316864×10^0,7.755821686×10^0,-4.597838745×10^0
3.064672333×10^0,-8.923992462×10^0,8.902586975×10^0,-5.229824524×10^0
3.074621333×10^0,-9.310189362×10^0,1.016805542×10^1,-5.717660065×10^0
3.084570333×10^0,-9.000184021×10^0,1.113728989×10^1,-5.088218994×10^0
3.094520333×10^0,-8.409512329×10^0,1.191537186×10^1,-3.563789062×10^0
3.104469333×10^0,-7.793842621×10^0,1.227402603×10^1,-1.911524963×10^0
3.114418333×10^0,-6.812034302×10^0,1.188797882×10^1,-7.433541870×10^-1
3.124367333×10^0,-5.498366089×10^0,1.067400330×10^1,-1.001417542×10^-1
3.134316333×10^0,-4.481231232×10^0,9.290879517×10^0,1.221459961×10^-1
3.144266333×10^0,-3.726800079×10^0,8.059689789×10^0,2.080673218×10^-1
3.154215333×10^0,-3.134631500×10^0,6.998247070×10^0,2.933898926×10^-1
3.164164333×10^0,-2.780318298×10^0,6.397097168×10^0,4.418811035×10^-1
3.174113333×10^0,-2.476599884×10^0,6.127507782×10^0,6.261479187×10^-1
3.184062333×10^0,-2.340532837×10^0,6.218518524×10^0,7.812254333×10^-1
3.194011333×10^0,-2.734513550×10^0,6.947502594×10^0,8.427474976×10^-1
3.203961333×10^0,-3.358266449×10^0,7.853269043×10^0,7.306306458×10^-1
3.213910333×10^0,-3.891457672×10^0,8.543034668×10^0,5.304968262×10^-1
3.223859333×10^0,-4.275858307×10^0,8.915011139×10^0,2.528242493×10^-1
3.233808333×10^0,-4.408482513×10^0,9.014404449×10^0,-1.616638184×10^-1
3.243757333×10^0,-4.306245117×10^0,9.027127991×10^0,-6.095324707×10^-1
3.253707333×10^0,-4.129762115×10^0,8.959768066×10^0,-9.256750488×10^-1
