"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.746600125×10^0,-7.717115283×10^-1,-1.181772590×10^0,-6.217272021×10^-3
2.756550125×10^0,-6.460647583×10^-1,-1.379145026×10^0,1.910280287×10^-1
2.766500125×10^0,-4.746655822×10^-1,-1.436480761×10^0,3.768713772×10^-1
2.776449125×10^0,-2.851681113×10^-1,-1.340307713×10^0,4.962953329×10^-1
2.786399125×10^0,-1.023476869×10^-1,-1.183185458×10^0,5.367056131×10^-1
2.796349125×10^0,4.629299790×10^-2,-9.748538733×10^-1,4.997589588×10^-1
2.806298125×10^0,1.338899583×10^-1,-7.429023981×10^-1,4.280093908×10^-1
2.816248125×10^0,1.408519000×10^-1,-5.342749953×10^-1,3.368187249×10^-1
2.826198125×10^0,6.041218340×10^-2,-3.663714826×10^-1,2.327594459×10^-1
2.836147125×10^0,-7.906166464×10^-2,-2.333550602×10^-1,1.122053787×10^-1
2.846097125×10^0,-2.581587136×10^-1,-1.237268373×10^-1,-8.013703860×10^-3
2.856046125×10^0,-4.577328265×10^-1,-3.616936505×10^-2,-1.304651499×10^-1
2.865996125×10^0,-6.521121860×10^-1,3.569203988×10^-2,-2.450567186×10^-1
2.875946125×10^0,-8.311159015×10^-1,8.157604933×10^-2,-3.247069716×10^-1
2.885895125×10^0,-9.840252995×10^-1,4.428621009×10^-2,-3.811574578×10^-1
2.895845125×10^0,-1.118874669×10^0,-6.397307664×10^-2,-4.325246513×10^-1
2.905795125×10^0,-1.239912391×10^0,-2.170971036×10^-1,-4.746215045×10^-1
2.915744125×10^0,-1.329006076×10^0,-4.035139978×10^-1,-4.689070582×10^-1
2.925694125×10^0,-1.380033493×10^0,-6.157066822×10^-1,-4.134688079×10^-1
2.935644125×10^0,-1.356886387×10^0,-7.898233533×10^-1,-3.289832473×10^-1
2.945593125×10^0,-1.131020546×10^0,-8.574500680×10^-1,-2.191337049×10^-1
2.955543125×10^0,-7.054029703×10^-1,-8.635379076×10^-1,-1.076451838×10^-1
2.965493125×10^0,-2.474676520×10^-1,-8.920283914×10^-1,-3.942591697×10^-2
2.975442125×10^0,1.241310686×10^-1,-9.908338785×10^-1,4.205639008×10^-3
2.985392125×10^0,3.755723834×10^-1,-1.074728251×10^0,3.832046688×10^-2
2.995341125×10^0,4.980085790×10^-1,-1.025194764×10^0,4.424694926×10^-2
3.005291125×10^0,5.069371462×10^-1,-8.179348111×10^-1,1.710988581×10^-4
3.015241125×10^0,4.221607447×10^-1,-5.293067694×10^-1,-7.811056823×10^-2
3.025190125×10^0,2.566575110×10^-1,-2.435335517×10^-1,-1.662657410×10^-1
3.035140125×10^0,2.079476789×10^-2,-9.434692562×10^-3,-2.286472768×10^-1
