"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.505842125×10^0,-2.048407309×10^-2,-6.251279265×10^-4,3.291404573×10^-3
2.515792125×10^0,-1.578897610×10^-2,-3.414247418×10^-3,-1.511962153×10^-3
2.525742125×10^0,-1.034361031×10^-2,-9.825540707×10^-3,-2.956993412×10^-3
2.535691125×10^0,-1.054896135×10^-2,-7.684804499×10^-3,8.243175689×10^-4
2.545641125×10^0,-1.304487512×10^-2,-5.924987607×10^-3,-1.451886026×10^-3
2.555591125×10^0,-7.045832463×10^-3,-3.257150529×10^-3,-1.459839172×10^-3
2.565541125×10^0,-4.316624720×10^-3,1.977026230×10^-3,-1.540533034×10^-3
2.575491125×10^0,-4.173609894×10^-3,3.728927812×10^-3,6.589903496×10^-4
2.585441125×10^0,-5.023957230×10^-3,2.226904966×10^-3,-2.073359210×10^-4
2.595391125×10^0,-1.194489002×10^-2,5.178906140×10^-4,-2.991931047×10^-3
2.605341125×10^0,-1.008813456×10^-2,-8.136898978×10^-4,9.945544880×10^-4
2.615291125×10^0,-9.426151402×10^-3,-3.629164537×10^-3,6.952655967×10^-4
2.625241125×10^0,-5.692400038×10^-3,-3.562318860×10^-3,3.419146640×10^-3
2.635190125×10^0,-2.771457075×10^-4,-2.673459705×10^-3,3.286162158×10^-3
2.645140125×10^0,3.553278977×10^-3,1.057096059×10^-3,4.236377776×10^-3
2.655090125×10^0,5.546295084×10^-3,2.765503246×10^-3,5.334108137×10^-3
2.665040125×10^0,8.260056376×10^-3,5.686724558×10^-3,7.664906792×10^-3
2.674990125×10^0,1.042226981×10^-2,8.371307515×10^-3,6.432094146×10^-3
2.684940125×10^0,1.161483396×10^-2,8.796614595×10^-3,2.009914722×10^-3
2.694890125×10^0,1.436198410×10^-2,9.367756546×10^-3,2.910123440×10^-3
2.704840125×10^0,1.623152383×10^-2,3.049406921×10^-3,4.036374390×10^-3
2.714790125×10^0,2.068693377×10^-2,2.619768493×10^-3,4.675430246×10^-3
2.724740125×10^0,2.425264008×10^-2,1.507099718×10^-3,6.728993729×10^-3
2.734689125×10^0,2.998027205×10^-2,4.385821521×10^-4,3.794837976×10^-3
2.744639125×10^0,3.069293313×10^-2,2.374433912×10^-3,1.490404597×10^-3
2.754589125×10^0,3.057409637×10^-2,8.597495616×10^-4,4.753526300×10^-4
