"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.567204417×10^0,1.828343123×10^-1,1.782214791×10^-1,-1.035788730×10^-1
2.577154417×10^0,1.815022081×10^-1,1.963368356×10^-1,-1.187269315×10^-1
2.587104417×10^0,1.787754744×10^-1,1.667114049×10^-1,-1.100980118×10^-1
2.597054417×10^0,1.858557612×10^-1,9.911771864×10^-2,-8.197849244×10^-2
2.607004417×10^0,1.937919855×10^-1,4.906396940×10^-2,-4.719097167×10^-2
2.616954417×10^0,1.977121532×10^-1,3.930268809×10^-2,-3.325571492×10^-2
2.626905417×10^0,1.916108280×10^-1,7.248467207×10^-2,-3.755454719×10^-2
2.636855417×10^0,1.731932163×10^-1,1.360247731×10^-1,-4.886419326×10^-2
2.646805417×10^0,1.425872892×10^-1,2.040876001×10^-1,-6.907999516×10^-2
2.656755417×10^0,1.009756625×10^-1,2.621671557×10^-1,-6.914231181×10^-2
2.666705417×10^0,6.180961058×10^-2,3.021128476×10^-1,-5.399449915×10^-2
2.676655417×10^0,4.680349678×10^-2,2.967135608×10^-1,-4.246860743×10^-2
2.686606417×10^0,5.242561176×10^-2,2.556943893×10^-1,-3.585066646×10^-2
2.696556417×10^0,6.486763060×10^-2,1.983613223×10^-1,-3.014990315×10^-2
2.706506417×10^0,7.258465886×10^-2,1.091403365×10^-1,-3.432301432×10^-2
2.716456417×10^0,7.731469721×10^-2,2.795253694×10^-2,-5.008919165×10^-2
2.726406417×10^0,6.409480423×10^-2,-1.040453836×10^-2,-6.996557117×10^-2
2.736356417×10^0,3.455769271×10^-2,9.505786933×10^-3,-7.378720492×10^-2
2.746307417×10^0,-4.923811648×10^-3,6.510901451×10^-2,-7.426536083×10^-2
2.756257417×10^0,-4.929234087×10^-2,1.325714141×10^-1,-7.863374799×10^-2
2.766207417×10^0,-8.830395341×10^-2,1.686258763×10^-1,-9.080588073×10^-2
2.776157417×10^0,-1.065862924×10^-1,1.760928482×10^-1,-1.088328138×10^-1
2.786107417×10^0,-1.067181528×10^-1,1.363342851×10^-1,-1.350528747×10^-1
2.796057417×10^0,-8.134142309×10^-2,5.952099338×10^-2,-1.587906927×10^-1
2.806008417×10^0,-3.737678379×10^-2,-1.525339950×10^-2,-1.651421189×10^-1
2.815958417×10^0,1.982312091×10^-2,-7.610449940×10^-2,-1.501336098×10^-1
2.825908417×10^0,7.645478100×10^-2,-1.086020768×10^-1,-1.212731525×10^-1
2.835858417×10^0,1.215572804×10^-1,-1.048917621×10^-1,-8.917593211×10^-2
2.845808417×10^0,1.443434060×10^-1,-9.194755554×10^-2,-5.253334716×10^-2
2.855758417×10^0,1.476691663×10^-1,-6.602141261×10^-2,-3.299107403×10^-2
2.865709417×10^0,1.455073655×10^-1,-2.648666874×10^-2,-4.088090360×10^-2
2.875659417×10^0,1.330629438×10^-1,3.356042132×10^-2,-8.963885903×10^-2
