"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.054139125×10^0,-9.515711975×10^0,4.678520966×10^0,2.593506775×10^0
3.064088125×10^0,-9.603878632×10^0,4.905748444×10^0,2.304158478×10^0
3.074038125×10^0,-9.527537384×10^0,5.421426086×10^0,1.466799774×10^0
3.083988125×10^0,-9.383686523×10^0,5.986051941×10^0,4.418811035×10^-1
3.093938125×10^0,-9.288933563×10^0,6.298152924×10^0,9.804611206×10^-2
3.103887375×10^0,-9.176966400×10^0,6.367159424×10^0,5.989045715×10^-1
3.113837375×10^0,-9.089099121×10^0,6.402935028×10^0,1.143472137×10^0
3.123787375×10^0,-9.059760132×10^0,6.624025269×10^0,1.341510315×10^0
3.133736375×10^0,-9.016051025×10^0,6.752009125×10^0,1.255738678×10^0
3.143686375×10^0,-8.942553864×10^0,6.797065430×10^0,1.019230499×10^0
3.153636375×10^0,-8.864266663×10^0,6.893914032×10^0,9.800120544×10^-1
3.163586375×10^0,-8.745264130×10^0,6.814728699×10^0,7.476951599×10^-1
3.173535375×10^0,-8.678353271×10^0,6.793173523×10^0,5.487588501×10^-1
3.183485375×10^0,-8.706195374×10^0,7.099286957×10^0,5.399272156×10^-1
3.193435375×10^0,-8.674311676×10^0,7.148534546×10^0,6.623725891×10^-1
3.203385375×10^0,-8.408913574×10^0,7.169341278×10^0,5.641767883×10^-1
3.213334375×10^0,-8.506061554×10^0,7.210355988×10^0,4.429289246×10^-1
3.223284375×10^0,-8.337811432×10^0,7.373217316×10^0,1.633103943×10^-1
3.233234375×10^0,-8.010442200×10^0,7.079827423×10^0,-6.182144165×10^-2
3.243183375×10^0,-7.855664063×10^0,6.694378967×10^0,-2.095642090×10^-3
3.253133375×10^0,-7.664212189×10^0,6.353687439×10^0,4.745132446×10^-1
3.263083375×10^0,-7.345824280×10^0,5.959856415×10^0,9.101074219×10^-1
3.273033375×10^0,-7.103478241×10^0,5.723946991×10^0,7.803273010×10^-1
3.282982375×10^0,-6.843768311×10^0,5.717061310×10^0,7.006929016×10^-1
3.292932375×10^0,-6.527625732×10^0,6.035299530×10^0,1.319655762×10^0
3.302882375×10^0,-6.787335663×10^0,6.086493073×10^0,1.399140472×10^0
3.312831375×10^0,-6.652017059×10^0,5.861510925×10^0,1.235979767×10^0
3.322781375×10^0,-6.155948639×10^0,5.848038940×10^0,1.298699341×10^0
