"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.012106417×10^0,-1.200722575×10^0,1.196551323×10^0,7.935059816×10^-2
3.022055417×10^0,-5.501388311×10^-1,1.252287269×10^0,5.235688090×10^-1
3.032003417×10^0,-5.284425616×10^-1,8.758719563×10^-1,9.659298658×10^-1
3.041952417×10^0,-1.020219803×10^0,5.679948330×10^-1,1.120171666×10^0
3.051900417×10^0,-1.569393396×10^0,8.104962111×10^-1,8.312327862×10^-1
3.061849417×10^0,-1.892733335×10^0,1.369671345×10^0,2.701252103×10^-1
3.071797417×10^0,-1.959595680×10^0,1.741432190×10^0,-1.945612729×10^-1
3.081745417×10^0,-1.840457916×10^0,1.642485142×10^0,-3.218452036×10^-1
3.091694417×10^0,-1.606867671×10^0,1.290648103×10^0,-1.906708777×10^-1
3.101642417×10^0,-1.359726071×10^0,1.060597062×10^0,2.482092753×10^-2
3.111591417×10^0,-1.184873104×10^0,1.103630781×10^0,1.620283276×10^-1
3.121539417×10^0,-1.087951899×10^0,1.330849051×10^0,1.830438673×10^-1
3.131488417×10^0,-1.027053237×10^0,1.544009686×10^0,1.308701187×10^-1
3.141436417×10^0,-1.014110804×10^0,1.595760465×10^0,8.934530616×10^-2
