"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.698731417×10^0,-1.154174881×10^1,8.237220612×10^0,3.904779968×10^0
2.708679417×10^0,-1.202913528×10^1,7.666607208×10^0,4.685256958×10^0
2.718628417×10^0,-1.307096878×10^1,6.920558624×10^0,4.760849762×10^0
2.728576417×10^0,-1.311722260×10^1,6.432723083×10^0,4.379293213×10^0
2.738524417×10^0,-1.245035934×10^1,6.172264709×10^0,4.151167603×10^0
2.748473417×10^0,-1.174293045×10^1,6.022725677×10^0,3.665876770×10^0
2.758421417×10^0,-1.137065460×10^1,5.752836914×10^0,2.916235657×10^0
2.768370417×10^0,-1.078641953×10^1,5.487438812×10^0,2.169288940×10^0
2.778318417×10^0,-1.041773621×10^1,5.344785461×10^0,1.790726166×10^0
2.788267417×10^0,-9.966125336×10^0,5.098397827×10^0,1.942660217×10^0
2.798215417×10^0,-8.896000671×10^0,4.980592804×10^0,2.090103607×10^0
2.808163417×10^0,-7.713310089×10^0,4.745282135×10^0,2.155367889×10^0
2.818112417×10^0,-6.772965546×10^0,4.234394531×10^0,2.201921082×10^0
2.828060417×10^0,-6.367458801×10^0,3.360661469×10^0,2.034718781×10^0
2.838009417×10^0,-6.316265259×10^0,2.348765717×10^0,1.634900208×10^0
2.847957417×10^0,-6.638844452×10^0,1.639091492×10^0,1.459764404×10^0
2.857906417×10^0,-7.451953583×10^0,1.342408447×10^0,9.803114319×10^-1
2.867854417×10^0,-8.302634583×10^0,1.084644470×10^0,2.212399292×10^-1
2.877803417×10^0,-8.868158569×10^0,8.705895996×10^-1,-2.736309814×10^-1
2.887751417×10^0,-9.045390015×10^0,5.734574890×10^-1,-3.324586487×10^-1
2.897699417×10^0,-8.750353546×10^0,-6.945556641×10^-2,-8.322692871×10^-2
2.907648417×10^0,-8.320597229×10^0,-7.493417358×10^-1,-2.020797729×10^-2
2.917596417×10^0,-7.620503082×10^0,-1.134041748×10^0,-3.972738647×10^-1
2.927545417×10^0,-7.055727539×10^0,-7.894583130×10^-1,-1.081351318×10^0
2.937493417×10^0,-6.277795258×10^0,1.359173584×10^-1,-8.069718933×10^-1
2.947442417×10^0,-5.899681549×10^0,3.399430847×10^-1,6.586303711×10^-2
2.957390417×10^0,-5.822142792×10^0,2.650987244×10^-1,4.719685364×10^-1
2.967338417×10^0,-5.720803528×10^0,3.611988831×10^-1,4.810995483×10^-1
2.977287417×10^0,-5.916296997×10^0,7.788304138×10^-1,5.439688110×10^-1
2.987235417×10^0,-6.377188568×10^0,1.363963623×10^0,2.534230042×10^-1
2.997184417×10^0,-6.607858887×10^0,2.242486725×10^0,3.507206726×10^-1
3.007132417×10^0,-7.617958374×10^0,3.188669128×10^0,2.659818878×10^0
3.017081417×10^0,-1.031100815×10^1,4.754263458×10^0,6.582411804×10^0
3.027029417×10^0,-1.293340485×10^1,6.144123230×10^0,8.074359283×10^0
3.036977417×10^0,-1.498189499×10^1,7.713010712×10^0,5.053790588×10^0
3.046926417×10^0,-1.509296402×10^1,9.946366425×10^0,2.510130157×10^0
3.056874417×10^0,-1.392778702×10^1,1.108430008×10^1,2.978805542×10^0
3.066823417×10^0,-1.295376251×10^1,1.084045715×10^1,4.514312439×10^0
3.076771417×10^0,-1.334355194×10^1,9.790390778×10^0,5.534740448×10^0
3.086720417×10^0,-1.459599747×10^1,9.346863098×10^0,5.711971893×10^0
3.096668417×10^0,-1.515313889×10^1,9.480235748×10^0,5.722599792×10^0
3.106617417×10^0,-1.459465027×10^1,9.931547241×10^0,5.413642273×10^0
3.116565417×10^0,-1.328397583×10^1,1.047821045×10^1,4.577780457×10^0
3.126513417×10^0,-1.202554276×10^1,1.075603271×10^1,3.901187439×10^0
3.136462417×10^0,-1.114567245×10^1,1.075288925×10^1,3.800596619×10^0
3.146410417×10^0,-1.031669632×10^1,1.020053787×10^1,3.707490234×10^0
3.156359417×10^0,-9.004524994×10^0,9.771230621×10^0,3.460204468×10^0
3.166307417×10^0,-7.597301331×10^0,9.216184845×10^0,3.506907349×10^0
3.176256417×10^0,-6.092330933×10^0,8.372988281×10^0,3.376528473×10^0
3.186204417×10^0,-4.662504272×10^0,7.292086029×10^0,3.416345673×10^0
3.196152417×10^0,-3.263214111×10^0,6.392456818×10^0,3.442690887×10^0
3.206101417×10^0,-2.236499176×10^0,5.502707062×10^0,3.471730499×10^0
3.216049417×10^0,-1.561103668×10^0,4.733007660×10^0,3.649111633×10^0
3.225998417×10^0,-9.355545044×10^-1,4.393962708×10^0,3.844455414×10^0
3.235946417×10^0,-3.537144470×10^-1,4.112547913×10^0,3.471431122×10^0
3.245895417×10^0,4.608915710×10^-1,3.727698212×10^0,2.949167175×10^0
3.255843417×10^0,8.416996765×10^-1,3.245850220×10^0,3.027903442×10^0
3.265791417×10^0,8.934919739×10^-1,2.660866699×10^0,3.130140839×10^0
3.275740417×10^0,7.282356262×10^-1,2.273322601×10^0,2.955154724×10^0
3.285688417×10^0,3.677851868×10^-1,2.220931549×10^0,2.924019470×10^0
3.295637417×10^0,-1.908531189×10^-1,2.474504242×10^0,3.101699982×10^0
3.305585417×10^0,-6.607260132×10^-1,2.975811768×10^0,3.013233948×10^0
