"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.934065833×10^0,9.626556933×10^-2,-7.435355186×10^-1,3.610549569×10^-1
2.944015833×10^0,5.892119929×10^-2,-7.447199821×10^-1,3.361464739×10^-1
2.953965833×10^0,2.354163863×10^-2,-6.653894782×10^-1,3.198418319×10^-1
2.963915833×10^0,-5.289605260×10^-2,-5.422193408×10^-1,3.051709235×10^-1
2.973865833×10^0,-1.452350467×10^-1,-4.654244781×10^-1,2.927398384×10^-1
2.983815833×10^0,-2.244016677×10^-1,-4.438185692×10^-1,3.484052122×10^-1
2.993765833×10^0,-3.023025990×10^-1,-3.712729812×10^-1,5.055985451×10^-1
3.003715833×10^0,-4.188099205×10^-1,-2.332689166×10^-1,7.495654821×10^-1
3.013665833×10^0,-5.289283991×10^-1,-1.613553166×10^-1,1.050170302×10^0
3.023615833×10^0,-6.325803399×10^-1,-1.646835953×10^-1,1.307250738×10^0
3.033565833×10^0,-7.197818160×10^-1,-1.753484905×10^-1,1.499050260×10^0
3.043515833×10^0,-7.652251720×10^-1,-2.411106527×10^-1,1.618399262×10^0
3.053465833×10^0,-7.073003650×10^-1,-3.327998519×10^-1,1.562536478×10^0
3.063415833×10^0,-5.908534527×10^-1,-4.028439522×10^-1,1.308738351×10^0
3.073365833×10^0,-5.265032053×10^-1,-4.914270937×10^-1,8.875099421×10^-1
3.083315833×10^0,-5.645252466×10^-1,-5.534144044×10^-1,5.147023201×10^-1
3.093265833×10^0,-6.743451953×10^-1,-6.451302171×10^-1,3.764440119×10^-1
3.103215833×10^0,-8.078082204×10^-1,-6.665500402×10^-1,3.578436375×10^-1
3.113165833×10^0,-9.864280224×10^-1,-5.142702460×10^-1,4.040889144×10^-1
3.123115833×10^0,-1.234432220×10^0,-1.420973837×10^-1,4.940979481×10^-1
3.133065833×10^0,-1.543444157×10^0,2.430705428×10^-1,6.378969550×10^-1
